Date,开盘价,最高价,最低价,收盘价,昨收价,涨跌幅,前1天收盘价,前2天收盘价,前3天收盘价,前4天收盘价,前5天收盘价,前6天收盘价,前7天收盘价,前8天收盘价,前9天收盘价,前10天收盘价,前1天涨跌幅,前2天涨跌幅,前3天涨跌幅,前4天涨跌幅,前5天涨跌幅,前6天涨跌幅,前7天涨跌幅,前8天涨跌幅,前9天涨跌幅,前10天涨跌幅
2022-04-25,110.72000122070312,117.26000213623047,110.30000305175781,116.56999969482422,114.56999969482422,1.745657681179475,114.56999969482422,115.97000122070312,122.30999755859375,126.61000061035156,126.7300033569336,129.55999755859375,134.6699981689453,130.99000549316406,133.0500030517578,134.75999450683594,-1.207210063932444,-5.183547105258824,-3.3962586138762303,-0.09469166211891031,-2.184311712710774,-3.7944610379670443,2.8093690521856622,-1.548288246030622,-1.2689162398202551,-0.7000310662678461
2022-04-26,114.05999755859375,114.9800033569336,110.5999984741211,111.93000030517578,116.56999969482422,-3.9804404236045103,116.56999969482422,114.56999969482422,115.97000122070312,122.30999755859375,126.61000061035156,126.7300033569336,129.55999755859375,134.6699981689453,130.99000549316406,133.0500030517578,1.745657681179475,-1.207210063932444,-5.183547105258824,-3.3962586138762303,-0.09469166211891031,-2.184311712710774,-3.7944610379670443,2.8093690521856622,-1.548288246030622,-1.2689162398202551
2022-04-27,113.56999969482422,119.69000244140625,112.79000091552734,118.5199966430664,111.93000030517578,5.887605038794854,111.93000030517578,116.56999969482422,114.56999969482422,115.97000122070312,122.30999755859375,126.61000061035156,126.7300033569336,129.55999755859375,134.6699981689453,130.99000549316406,-3.9804404236045103,1.745657681179475,-1.207210063932444,-5.183547105258824,-3.3962586138762303,-0.09469166211891031,-2.184311712710774,-3.7944610379670443,2.8093690521856622,-1.548288246030622
2022-04-28,120.0,121.33999633789062,115.86000061035156,120.55000305175781,118.5199966430664,1.7127965458900176,118.5199966430664,111.93000030517578,116.56999969482422,114.56999969482422,115.97000122070312,122.30999755859375,126.61000061035156,126.7300033569336,129.55999755859375,134.6699981689453,5.887605038794854,-3.9804404236045103,1.745657681179475,-1.207210063932444,-5.183547105258824,-3.3962586138762303,-0.09469166211891031,-2.184311712710774,-3.7944610379670443,2.8093690521856622
2022-04-29,130.69000244140625,136.5399932861328,123.83000183105469,124.16999816894531,120.55000305175781,3.002899233136697,120.55000305175781,118.5199966430664,111.93000030517578,116.56999969482422,114.56999969482422,115.97000122070312,122.30999755859375,126.61000061035156,126.7300033569336,129.55999755859375,1.7127965458900176,5.887605038794854,-3.9804404236045103,1.745657681179475,-1.207210063932444,-5.183547105258824,-3.3962586138762303,-0.09469166211891031,-2.184311712710774,-3.7944610379670443
2022-05-02,123.01000213623047,127.94999694824219,122.1500015258789,127.86000061035156,124.16999816894531,2.971734312491206,124.16999816894531,120.55000305175781,118.5199966430664,111.93000030517578,116.56999969482422,114.56999969482422,115.97000122070312,122.30999755859375,126.61000061035156,126.7300033569336,3.002899233136697,1.7127965458900176,5.887605038794854,-3.9804404236045103,1.745657681179475,-1.207210063932444,-5.183547105258824,-3.3962586138762303,-0.09469166211891031,-2.184311712710774
2022-05-03,127.8499984741211,130.72000122070312,126.11000061035156,127.56999969482422,127.86000061035156,-0.22681128902158418,127.86000061035156,124.16999816894531,120.55000305175781,118.5199966430664,111.93000030517578,116.56999969482422,114.56999969482422,115.97000122070312,122.30999755859375,126.61000061035156,2.971734312491206,3.002899233136697,1.7127965458900176,5.887605038794854,-3.9804404236045103,1.745657681179475,-1.207210063932444,-5.183547105258824,-3.3962586138762303,-0.09469166211891031
2022-05-04,124.12999725341797,132.3800048828125,122.8499984741211,131.9499969482422,127.56999969482422,3.433406963938148,127.56999969482422,127.86000061035156,124.16999816894531,120.55000305175781,118.5199966430664,111.93000030517578,116.56999969482422,114.56999969482422,115.97000122070312,122.30999755859375,-0.22681128902158418,2.971734312491206,3.002899233136697,1.7127965458900176,5.887605038794854,-3.9804404236045103,1.745657681179475,-1.207210063932444,-5.183547105258824,-3.3962586138762303
2022-05-05,126.6500015258789,128.5500030517578,122.44999694824219,124.08000183105469,131.9499969482422,-5.964376884581916,131.9499969482422,127.56999969482422,127.86000061035156,124.16999816894531,120.55000305175781,118.5199966430664,111.93000030517578,116.56999969482422,114.56999969482422,115.97000122070312,3.433406963938148,-0.22681128902158418,2.971734312491206,3.002899233136697,1.7127965458900176,5.887605038794854,-3.9804404236045103,1.745657681179475,-1.207210063932444,-5.183547105258824
2022-05-06,121.69999694824219,122.02999877929688,116.37999725341797,116.76000213623047,124.08000183105469,-5.899419396198117,124.08000183105469,131.9499969482422,127.56999969482422,127.86000061035156,124.16999816894531,120.55000305175781,118.5199966430664,111.93000030517578,116.56999969482422,114.56999969482422,-5.964376884581916,3.433406963938148,-0.22681128902158418,2.971734312491206,3.002899233136697,1.7127965458900176,5.887605038794854,-3.9804404236045103,1.745657681179475,-1.207210063932444
